grower_id,Delivered,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,"Useable 
w 3 % Allow"
,10/26/2017,STU4,"4,807",6502,3.3,0,50,MX,"51,440","46,449",90.30%,"46,310"
,,,,,,,,,,,,
,10/26/2017,STU4,"4,808",6503,5.36,0,48,MX,"53,380","47,974",89.87%,"46,842"
,,,,,,,,,,,,
,10/26/2017,STU4,"4,815",6510,5.06,0,45,MX,"51,920","49,471",95.28%,"48,452"
,,,,,,,,,,,,
,10/26/2017,STU4,"4,815",6514,5.06,0,45,MX,"52,740","50,252",95.28%,"49,217"
,,,,,,,,,,,,
,10/27/2017,STU4,"4,815",6515,5.06,0,45,MX,"22,400","21,343",95.28%,"20,904"
,,,,,,,,,,,,
,Deca01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/27/2017,STU5,"4,819",6516,5.2,0,34,ST,"23,120","21,276",92.02%,"20,808"
,,,,,,,,,,,,
,10/30/2017,CAR21,"4,850",6563,3.22,0,48,MX,"55,140","51,197",92.85%,"51,197"
,,,,,,,,,,,,
,10/31/2017,CAR21,"4,851",6567,3.12,0,52,MX,"17,780","16,810",94.54%,"16,810"
,,,,,,,,,,,,
,10/30/2017,CAR21,"4,852",6559,3.04,0,47,MX,"46,900","43,411",92.56%,"43,411"
,,,,,,,,,,,,
,10/31/2017,CAR21,"4,854",6566,1.36,0,35,ST,"17,860","17,222",96.43%,"17,222"
,,,,,,,,,,,,
,11/1/2017,CAR17,"4,864",6582,3.2,0,27,ST,"50,420","47,558",94.32%,"47,558"
,,,,,,,,,,,,
,11/1/2017,CAR17,"4,866",6584,3.72,0,33,ST,"59,400","54,382",91.55%,"54,382"
,,,,,,,,,,,,
,11/1/2017,CAR17,"4,867",6585,2.59,0,32,ST,"44,460","42,026",94.53%,"42,026"
,,,,,,,,,,,,
,11/2/2017,CAR17,"4,870",6590,4.1,0,37,ST,"22,000","20,665",93.93%,"20,665"
,,,,,,,,,,,,
,11/3/2017,CAR20,"4,883",6605,3.52,0,50,MX,"49,620","44,732",90.15%,"44,732"
,,,,,,,,,,,,
,11/3/2017,CAR20,"4,883",6608,3.52,0,50,MX,"58,940","53,134",90.15%,"53,134"
,,,,,,,,,,,,
,11/3/2017,CAR20,"4,887",6610,6.6,0,33,MX,"48,540","43,863",90.36%,"42,284"
,,,,,,,,,,,,
,11/4/2017,CAR20,"4,888",6614,4.54,0,34,MX,"40,200","36,711",91.32%,"36,145"
,,,,,,,,,,,,
,11/4/2017,CAR20,"4,888",6616,4.54,0,34,MX,"57,440","52,454",91.32%,"51,646"
,,,,,,,,,,,,
,11/4/2017,CAR20,"4,888",6618,4.54,0,34,MX,"7,000","6,392",91.32%,"6,294"
,,,,,,,,,,,,
