"","grower_id","date","bog","rot","debris","color","variety","kqf_pre","kqf_final"
"282","Mere01","10/24/2013","BigBog",2.52,0,36,"ST",1,2
"283","Mere01","10/24/2013","BigBog",4.32,0,28,"MX",1,2
"284","Mere01","10/24/2013","BigBog",4.07,0,33,"MX",1,2
"285","Pink01","10/21/2013","Blue",5.28,0,31,"MX",1,2
"286","Pink01","11/5/2013","Blue",10,0,NA,"ST",1,2
"287","Cako01","10/25/2013","Bog 3",15.18,0,53,"OM",1,2
"288","Bral01","10/16/2013","BOG#1",2.51,0,30,"ST",1,2
"289","Bral01","10/16/2013","BOG#1",1.48,0,32,"ST",1,2
"290","Bapt02","10/14/2013","BOURNE",5.71,0,33,"MX",1,2
"291","Bapt02","10/14/2013","BOURNE",3.22,0,31,"ST",1,2
"292","Bapt02","10/18/2013","BOURNE",2.65,0,33,"MX",1,2
"293","Bapt02","10/18/2013","BOURNE",5.13,0,41,"ST",1,2
"294","Harj01","10/16/2013","BRUF#1",2.09,0,37,"MX",1,2
"295","Harj01","10/10/2013","BRUF#2",3.1,0,40,"EB",1,2
"296","Harj01","10/11/2013","BRUF#3",1.82,0,39,"MX",1,2
"297","Harj01","10/10/2013","BRUF#7",1.04,0,35,"EB",1,2
"298","Norr02","10/9/2013","BS1",14.48,0,34,"ST",1,2
"299","Norr02","10/8/2013","BS2",11.01,0,31,"ST",1,2
"300","Norr02","10/8/2013","BS2",5.52,0,26,"ST",1,2
"301","Norr02","10/8/2013","BS3",14.53,0,43,"ST",1,2
"302","Pink01","10/1/2013","BShant",2.94,0,33,"EB",1,2
"303","Pink01","10/1/2013","BShant",0.47,0,27,"EB",1,2
"304","Pink01","10/2/2013","BShant",2.27,0,30,"EB",1,2
"305","Harj01","10/11/2013","BYR 12",2.56,0,32,"ST",1,2
"306","Harj01","10/11/2013","BYR 12",2.56,0,32,"ST",1,2
"307","Harj01","10/11/2013","BYR 12",2.56,0,32,"ST",1,2
"308","Harj01","10/11/2013","BYR 13",3.69,0,33,"ST",1,2
"309","Harj01","10/12/2013","BYR 13",4.24,0,53,"ST",1,2
"310","Harj01","10/12/2013","BYR 14",8.85,0,48,"ST",1,2
"311","Harj01","10/12/2013","BYR 14",8.85,0,48,"ST",1,2
"312","Harj01","10/12/2013","BYRN10",5.99,0,40,"ST",1,2
"313","Harj01","10/12/2013","BYRN10",5.99,0,40,"ST",1,2
"314","Harj01","10/12/2013","BYRN10",5.99,0,40,"ST",1,2
"315","Harj01","10/12/2013","BYRN11",4.52,0,47,"ST",1,2
"316","Harj01","10/12/2013","BYRN11",4.52,0,47,"ST",1,2
"317","Harj01","10/12/2013","BYRN11",4.52,0,47,"ST",1,2
"318","Harj01","10/17/2013","BYRNE1",2.63,0,33,"ST",1,2
"319","Harj01","10/17/2013","BYRNE1",2.63,0,33,"ST",1,2
"320","Harj01","10/17/2013","BYRNE1",1.06,0,34,"ST",1,2
"321","Harj01","10/16/2013","BYRNE2",2.06,0,34,"ST",1,2
"322","Harj01","10/17/2013","BYRNE2",2.06,0,34,"ST",1,2
"323","Harj01","10/17/2013","BYRNE2",4.31,0,28,"ST",1,2
"324","Harj01","10/16/2013","BYRNE3",1.29,0,29,"ST",1,2
"325","Harj01","10/16/2013","BYRNE3",1.29,0,29,"ST",1,2
"326","Harj01","10/16/2013","BYRNE4",3.86,0,31,"ST",1,2
"327","Harj01","10/16/2013","BYRNE4",2.76,0,26,"ST",1,2
"328","Harj01","10/15/2013","BYRNE5",3.53,0,45,"ST",1,2
"329","Harj01","10/15/2013","BYRNE5",3.53,0,45,"ST",1,2
"330","Harj01","10/15/2013","BYRNE5",2.84,0,49,"ST",1,2
"331","Harj01","10/15/2013","BYRNE6",3.63,0,48,"ST",1,2
"332","Harj01","10/15/2013","BYRNE6",3.63,0,48,"ST",1,2
"333","Harj01","10/14/2013","BYRNE7",5.02,0,29,"ST",1,2
"334","Harj01","10/14/2013","BYRNE7",5.02,0,29,"ST",1,2
"335","Harj01","10/14/2013","BYRNE7",5.02,0,29,"ST",1,2
"336","Harj01","10/14/2013","BYRNE8",8.19,0,38,"ST",1,2
"337","Harj01","10/14/2013","BYRNE8",8.19,0,38,"ST",1,2
"338","Harj01","10/14/2013","BYRNE9",5.61,0,33,"ST",1,2
"339","Harj01","10/15/2013","BYRNE9",6.92,0,46,"ST",1,2
