date,grower_id,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL.1,Pack Out %,kqf_pre,kqf_final,Lot Pack Out,Useable w3% allow,"Useable 
w 3 % Allow",GTLID,BogID,# Totes,"Ave Bin 
Wgt.",NetWeight
2012-10-01,Bett01,7A,"1,138",1406,,,,ST,38800,96.18%,,,,,,,,,,
2012-10-01,Bott05,4,"1,132",1392,,,,EB,47080,92.26%,,,,,,,,,,
2012-10-01,Bott05,4,"1,137",1400,,,,EB,27960,96.81%,,,,,,,,,,
2012-10-01,Deca03,ZPD,"1,128",1386,,,,PD,2960,95.51%,,,,,,,,,,
2012-10-01,Fiel01,E.B.,"1,125",1382,,,,EB,9340,93.21%,,,,,,,,,,
2012-10-01,Fiel01,E.B.,"1,125",1383,,,,EB,20580,93.21%,,,,,,,,,,
2012-10-01,Hann01,C15,"1,124",1381,,,,BL,58920,97.00%,,,,,,,,,,
2012-10-01,Hann01,C15,"1,124",1385,,,,BL,40820,97.00%,,,,,,,,,,
2012-10-01,Hann01,C15,"1,124",1390,,,,BL,59160,97.00%,,,,,,,,,,
2012-10-01,Hann01,C15,"1,135",1398,,,,BL,41840,93.15%,,,,,,,,,,
2012-10-01,Hann01,C15,"1,135",1401,,,,BL,59780,93.15%,,,,,,,,,,
2012-10-01,Hann01,C15,"1,135",1402,,,,BL,13640,93.15%,,,,,,,,,,
2012-10-01,Hann01,C14,"1,140",1407,,,,EB,59740,92.77%,,,,,,,,,,
2012-10-01,Hann01,C14,"1,142",1408,,,,EB,30440,96.55%,,,,,,,,,,
2012-10-01,Nant01,#16A,"1,122",1377,,,,EB,39520,83.67%,,,,,,,,,,
2012-10-01,Nant01,#16A,"1,141",1376,,,,EB,46440,82.07%,,,,,,,,,,
2012-10-01,Padu01,Rock#2,"1,136",1399,,,,BL,15460,90.47%,,,,,,,,,,
2012-10-01,Padu01,Rock#2,"1,136",1404,,,,BL,6340,90.47%,,,,,,,,,,
2012-10-01,Pink01,BShant,"1,126",1384,,,,EB,17500,90.58%,,,,,,,,,,
2012-10-01,Pink01,BShant,"1,129",1388,,,,EB,16860,94.48%,,,,,,,,,,
2012-10-01,Pink01,BShant,"1,131",1391,,,,EB,17280,93.20%,,,,,,,,,,
2012-10-01,Pink01,BShant,"1,131",1397,,,,EB,14640,93.20%,,,,,,,,,,
2012-10-01,Pink01,Ramp,"1,139",1405,,,,EB,13020,91.44%,,,,,,,,,,
2012-10-01,Reze01,Ell 6,"1,121",1378,,,,ST,43440,94.72%,,,,,,,,,,
2012-10-01,Reze01,Ell 6,"1,121",1379,,,,ST,29900,94.72%,,,,,,,,,,
2012-10-01,Reze01,Ell 7,"1,123",1380,,,,ST,29920,93.77%,,,,,,,,,,
2012-10-01,Reze01,Ell 7,"1,127",1387,,,,ST,27920,89.88%,,,,,,,,,,
2012-10-01,Reze01,Ell 5,"1,130",1389,,,,ST,49100,91.98%,,,,,,,,,,
2012-10-01,Reze01,Ell 5,"1,134",1394,,,,ST,28600,88.27%,,,,,,,,,,
2012-10-01,Reze01,Ell 5,"1,134",1396,,,,ST,12460,88.27%,,,,,,,,,,
2012-10-02,Bott05,5,"1,154",1421,,,,EB,49940,95.11%,,,,,,,,,,
2012-10-02,Bott05,5,"1,154",1423,,,,EB,24500,95.11%,,,,,,,,,,
2012-10-02,Deca01,MP3,"1,161",1433,,,,EB,50660,76.64%,,,,,,,,,,
2012-10-02,Deca01,MP3,"1,161",1437,,,,EB,16420,76.64%,,,,,,,,,,
2012-10-02,Deca03,ZPD,"1,146",1412,,,,PD,10760,98.29%,,,,,,,,,,
2012-10-02,Hann01,C16,"1,144",1410,,,,BL,59520,97.19%,,,,,,,,,,
2012-10-02,Hann01,C16,"1,147",1413,,,,BL,42060,94.34%,,,,,,,,,,
2012-10-02,Hann01,C16,"1,150",1416,,,,BL,58920,94.19%,,,,,,,,,,
2012-10-02,Hann01,C16,"1,150",1422,,,,BL,41380,94.19%,,,,,,,,,,
2012-10-02,Hann01,C16,"1,150",1425,,,,BL,59600,94.19%,,,,,,,,,,
2012-10-02,Hann01,C16,"1,150",1429,,,,BL,41720,94.19%,,,,,,,,,,
2012-10-02,Hann01,C16,"1,150",1432,,,,BL,9640,94.19%,,,,,,,,,,
2012-10-02,Hann01,C13,"1,163",1436,,,,EB,41620,93.08%,,,,,,,,,,
2012-10-02,Hann01,C13,"1,163",1438,,,,EB,16340,93.08%,,,,,,,,,,
2012-10-02,Krys01,A1,"1,145",1411,,,,EB,20360,92.35%,,,,,,,,,,
2012-10-02,Krys01,A2,"1,148",1414,,,,EB,20140,94.53%,,,,,,,,,,
2012-10-02,Krys01,A1,"1,159",1430,,,,EB,20320,91.87%,,,,,,,,,,
2012-10-02,Krys01,A1,"1,159",1434,,,,EB,16580,91.87%,,,,,,,,,,
2012-10-02,Nant01,#6,"1,143",1409,,,,EB,40600,91.95%,,,,,,,,,,
2012-10-02,Norr01,A-4,"1,149",1415,,,,EB,17780,91.42%,,,,,,,,,,
2012-10-02,Norr01,A-6,"1,156",1426,,,,EB,22040,90.93%,,,,,,,,,,
2012-10-02,Pett02,3,"1,151",1417,,,,ST,12700,96.43%,,,,,,,,,,
2012-10-02,Pett02,3,"1,160",1431,,,,ST,13060,97.04%,,,,,,,,,,
2012-10-02,Pink01,3House,"1,152",1418,,,,EB,17060,89.03%,,,,,,,,,,
2012-10-02,Pink01,Hill,"1,162",1435,,,,EB,16780,91.27%,,,,,,,,,,
2012-10-02,Reze01,Lanz 3,"1,155",1420,,,,ST,51660,94.37%,,,,,,,,,,
2012-10-02,Reze01,Lanz 3,"1,155",1424,,,,ST,14500,94.37%,,,,,,,,,,
2012-10-02,Reze01,Lanz 3,"1,158",1428,,,,ST,29180,93.77%,,,,,,,,,,
2012-10-02,Zani01,ST 7B,"1,153",1419,,,,BL,40500,97.77%,,,,,,,,,,
